sport,number,clipid,year,event,description,link,Start: Hours,Start: Mins,Start: Seconds,start,duration,Time start,Time end
NCAAFootball,4,NCAAFootball4,2018,Championship,Alabama Georgia,https://www.youtube.com/watch?v=QfoZI4DeLds,0,10,12,612,58,10:12,11:10
NBA,1,NBA1,2013,,Ray Allen 3 to force OT,https://www.youtube.com/watch?v=tr6XsZVb-ZE,0,0,57,57,57,0:00,0:57
NBA,2,NBA2,,,Kawai shot vs. Philly in gm 7,https://www.youtube.com/watch?v=ChT3ewZXTfM,0,0,0,0,53,0:00,0:53
NBA,3,NBA3,,,Kyrie Game 7,https://www.youtube.com/watch?v=kIF8zcj_J4Y,0,0,0,0,49,0:00,0:49
NBA,4,NBA4,,,Klay 37 point quarter,https://www.youtube.com/watch?v=Sc3m3BwfylA,0,1,3,63,60,1:03,2:03
Tennis,1,Tennis1,,,Isner Mahut,https://www.youtube.com/watch?v=J9M-XwUhYH4,0,22,22,1342,66,22:22,23:28
Tennis,2,Tennis2,,,Murray wimbledon,https://www.youtube.com/watch?v=zD162uH4i8U,0,22,40,1360,80,22:40,24:00:00
MLB,1,MLB1,2016,World Series,Cubs win,https://www.youtube.com/watch?v=9CaDeppJDnU,4,55,0,17700,45,4:55:00,4:55:45
MLB,2,MLB2,2013,ALCS,Ortiz homer,https://www.youtube.com/watch?v=HJyxzaLNlNw,0,0,0,0,44,0:00,0:44
MLB,3,MLB3,2014,ADS,Bautista bat flip,https://www.youtube.com/watch?v=-UdsVO7HaJg,0,0,0,0,31,0:00,0:31
MLB,4,MLB4,2016,,Dee Gordon homer,https://www.youtube.com/watch?v=CkTy9p91YQc,0,0,0,0,55,0:00,0:55
MLB,5,MLB5,2014,World Series,Bumgarder save,https://www.youtube.com/watch?v=vPw-Om2Xf5I,0,0,53,53,76,0:53,2:09
MLB,6,MLB6,2015,,Galarraga robbed of perfect game,https://www.youtube.com/watch?v=Ab7-AkXFCUQ,0,4,37,277,89,4:37,6:06
MLB,7,MLB7,2014,World Series,Freese game 6,https://www.youtube.com/watch?v=PZVCrKcOl78,0,0,0,0,57,0:00,0:57
NFL,1,NFL1,2010,Super Bowl,Saints Colts INT,https://www.youtube.com/watch?v=Y79ZGUIs0_k,0,0,0,0,54,0:00,0:54
NFL,2,NFL2,2012,Super Bowl,Giants Pats,https://www.youtube.com/watch?v=VQ5wDbaVJ3A,0,7,0,420,110,7:00,8:50
NFL,3,NFL3,2013,Super Bowl,49ers Ravens,https://www.youtube.com/watch?v=BKNj4XHGDv0,0,5,16,316,60,5:16,6:16
NFL,4,NFL4,2015,Super Bowl,Pats Seahawks INT,https://www.youtube.com/watch?v=U7rPIg7ZNQ8,0,0,0,0,60,0:00,1:00
NFL,5,NFL5,2017,Super Bowl,Pats Falcons comeback,https://www.youtube.com/watch?v=016LXFHpFCk,0,10,25,625,70,10:25,11:35
NFL,6,NFL6,2018,Super Bowl,Philly Special,https://www.youtube.com/watch?v=qW1xbhW2PEE,0,7,26,446,64,7:26,8:30
NFL,7,NFL7,2011,Divisional,Tebow OT,https://www.youtube.com/watch?v=nMVnLsODqqg,0,0,0,0,50,0:00,0:50
NFL,8,NFL8,2018,Divisional,Minneapolis Miracle,https://www.youtube.com/watch?v=OJzpoj_NxqQ,0,0,0,0,59,0:00,0:59
Soccer,1,Soccer1,2013,CONCACAF,Snowclassico,https://www.youtube.com/watch?v=C9xuaQDkmL8,0,0,20,20,73,0:20,1:33
Soccer,2,Soccer2,2019,Champions League,Tottenham comeback to go to champions league final,https://www.youtube.com/watch?v=gt4-k50b0rM,0,2,17,137,132,2:17,4:29
Soccer,3,Soccer3,2010,World Cup,Landon Donovan goal,https://www.youtube.com/watch?v=b7eZmKWW9s4,0,0,0,0,60,0:00,1:00
Soccer,4,Soccer4,2014,Wolrd Cup,7-1 German over Brazi,https://www.youtube.com/watch?v=a7IMPsyQg6k,0,0,0,0,66,0:00,1:06
Soccer,5,Soccer5,2014,Wolrd Cup,Goetze final goal,https://www.youtube.com/watch?v=ffAYByv2pLc,0,0,53,53,60,0:53,1:53
Soccer,6,Soccer6,2018,World Cup,France Argentina,https://www.youtube.com/watch?v=6C6oOcDFmLY,0,0,22,22,77,0:22,1:39
Soccer,7,Soccer7,2012,Premier League,Man City first title (Aguero),https://www.youtube.com/watch?v=D5h_daj5dCI,0,20,23,1223,57,20:23,21:20
Soccer,8,Soccer8,2011,World Cup,Wambach goal to stay alive,https://www.youtube.com/watch?v=cvGfV6qCiOI,0,0,0,0,64,0:00,1:04
Soccer,9,Soccer9,2015,World Cup,Lloyd hat trick,https://www.youtube.com/watch?v=mBosyOJ3PIY,0,0,0,0,38,0:00,0:38
Soccer,10,Soccer10,2019,World Cup,US England,https://www.youtube.com/watch?v=PxVgQrw0RVQ,0,0,30,30,70,0:30,1:40
Soccer,11,Soccer11,2019,Champions League,Liverbool Barcelona,https://www.youtube.com/watch?v=4NhlXGMDNq4,0,3,15,195,75,3:15,4:30
Soccer,12,Soccer12,2014,World Cup,Wondo miss,https://www.youtube.com/watch?v=FZrPJyqw3mk&pbjreload=10,0,0,0,0,57,0:00,0:57
Soccer,13,Soccer13,2014,World Cup,John Brooks,https://www.youtube.com/watch?v=1f20D9HRiDE,0,0,0,0,63,0:00,1:03
NHL,1,NHL1,2014,Olympics,TJ Oshie shootout vs Russia,https://www.youtube.com/watch?v=MUxJXzKY4LE,0,8,44,524,67,8:44,9:51
NHL,2,NHL2,2018,Olympics,Lamoureaux shootout winning goal,https://www.youtube.com/watch?v=dRmZUNO4Y5s,0,1,3,63,59,1:03,2:02
Cricket,1,Cricket1,2019,World Cup,England win super over,https://www.youtube.com/watch?v=-nNJVv48OZM,0,0,0,0,61,0:00,1:01
